code,learning_area_code,learning_area,level,component_code,component,strand_code,strand,content
SCI6-LIV-LIF,SCI,Science,6,LIV,Living World,LIF,Life processes,"Relate key structural features and functions to the life processes of plants, animals, and micro-organisms and investigate environmental factors that affect these processes."
SCI6-LIV-ECO,SCI,Science,6,LIV,Living World,ECO,Ecology,Investigate the impact of natural events and human actions on a New Zealand ecosystem.
SCI6-LIV-EVO-1,SCI,Science,6,LIV,Living World,EVO-1,Evolution,Explore patterns in the inheritance of genetically controlled characteristics.
SCI6-LIV-EVO-2,SCI,Science,6,LIV,Living World,EVO-2,Evolution,Explain the importance of variation within a changing environment.
SCI6-PLA-EAR,SCI,Science,6,PLA,Planet Earth and Beyond,EAR,Earth systems,Investigate the external and internal processes that shape and change the surface features of New Zealand.
SCI6-PLA-INT,SCI,Science,6,PLA,Planet Earth and Beyond,INT,Interacting systems,"Develop an understanding of how the geosphere, hydrosphere, atmosphere, and biosphere interact to cycle carbon around Earth."
SCI6-PLA-AST,SCI,Science,6,PLA,Planet Earth and Beyond,AST,Astronomical systems,"Investigate the interactions between the solar, lunar, and Earth cycles and the effect of these on Earth."
SCI6-PHY-INQ-1,SCI,Science,6,PHY,Physical World,INQ-1,Physical inquiry and physics concepts,"Investigate trends and relationships in physical phenomena (in the areas of mechanics, electricity, electromagnetism, heat, light and waves, and atomic and nuclear physics)."
SCI6-PHY-INQ-2,SCI,Science,6,PHY,Physical World,INQ-2,Physical inquiry and physics concepts,Demonstrate an understanding of physical phenomena and concepts by explaining and solving questions and problems that relate to straightforward situations.
SCI6-PHY-PHY,SCI,Science,6,PHY,Physical World,PHY,Using physics,Investigate how physics knowledge is used in a technological or biological application.
SCI6-MAT-PRO-1,SCI,Science,6,MAT,Material World,PRO-1,Properties and changes of matter,"dentify patterns and trends in the properties of a range of groups of substances, for example, acids and bases, metals, metal compounds, and hydrocarbons."
SCI6-MAT-PRO-2,SCI,Science,6,MAT,Material World,PRO-2,Properties and changes of matter,Explore factors that affect chemical processes.
SCI6-MAT-STR-1,SCI,Science,6,MAT,Material World,STR-1,The structure of matter,"Distinguish between atoms, molecules, and ions (includes covalent and ionic bonding)."
SCI6-MAT-STR-2,SCI,Science,6,MAT,Material World,STR-2,The structure of matter,Link atomic structure to the organisation of the periodic table.
SCI6-MAT-STR-3,SCI,Science,6,MAT,Material World,STR-3,The structure of matter,Use particle theory to explain factors that affect chemical processes.
SCI6-MAT-CHE,SCI,Science,6,MAT,Material World,CHE,Chemistry and society,Investigate how chemical knowledge is used in a technological application of chemistry.
SCI7-NAT-UND,SCI,Science,7,NAT,Nature of Science,UND,Understanding about science,Understand that scientists have an obligation to connect their new ideas to current and historical scientific knowledge and to present their findings for peer review and debate.
SCI7-NAT-INV,SCI,Science,7,NAT,Nature of Science,INV,Investigating in science,"Develop and carry out investigations that extend their science knowledge, including developing their understanding of the relationship between investigations and scientific theories and models."
SCI7-NAT-COM,SCI,Science,7,NAT,Nature of Science,COM,Communicating in science,"Use accepted science knowledge, vocabulary, symbols, and conventions when evaluating accounts of the natural world and consider the wider implications of the methods of communication and/or representation employed."
SCI7-NAT-PAR,SCI,Science,7,NAT,Nature of Science,PAR,Participating and contributing,"Use relevant information to develop a coherent understanding of socio-scientific issues that concern them, to identify possible responses at both personal and societal levels."
SCI7-LIV-LIF,SCI,Science,7,LIV,Living World,LIF,Life processes,Explore the diverse ways in which animals and plants carry out the life processes.
SCI7-LIV-ECO,SCI,Science,7,LIV,Living World,ECO,Ecology,Explore ecological distribution patterns and explain possible causes for these patterns.
SCI7-LIV-EVO-1,SCI,Science,7,LIV,Living World,EVO-1,Evolution,Understand that DNA and the environment interact in gene expression.
SCI7-LIV-ECO-2,SCI,Science,7,LIV,Living World,ECO-2,Ecology and evolution,Explain how the interaction between ecological factors and natural selection leads to genetic changes within populations.
SCI7-PLA-EAR,SCI,Science,7,PLA,Planet Earth and Beyond,EAR,Earth systems and interacting systems,Develop an understanding of the causes of natural hazards and their interactions with human activity on Earth.
SCI7-PLA-AST,SCI,Science,7,PLA,Planet Earth and Beyond,AST,Astronomical systems,Explain the nature and life cycles of different types of stars in terms of energy changes and time.
SCI7-PHY-INQ-1,SCI,Science,7,PHY,Physical World,INQ-1,Physical inquiry and physics concepts,"Investigate physical phenomena (in the areas of mechanics, electricity, electromagnetism, light and waves, and atomic and nuclear physics) and produce qualitative and quantitative explanations for a variety of unfamiliar situations."
SCI7-PHY-INQ-2,SCI,Science,7,PHY,Physical World,INQ-2,Physical inquiry and physics concepts,Analyse data to deduce complex trends and relationships in physical phenomena.
SCI7-PHY-PHY,SCI,Science,7,PHY,Physical World,PHY,Using physics,Use physics ideas to explain a technological or biological application of physics.
SCI7-MAT-PRO,SCI,Science,7,MAT,Material World,PRO,Properties and changes of matter,"Investigate and measure the chemical and physical properties of a range of groups of substances, for example, acids and bases, oxidants and reductants, and selected organic and inorganic compounds."
SCI7-MAT-STR-1,SCI,Science,7,MAT,Material World,STR-1,The structure of matter,Relate properties of matter to structure and bonding.
SCI7-MAT-STR-2,SCI,Science,7,MAT,Material World,STR-2,The structure of matter,"Develop an understanding of and use the fundamental concepts of chemistry (for example, equilibrium and thermochemical principles) to interpret observations."
SCI7-MAT-CHE,SCI,Science,7,MAT,Material World,CHE,Chemistry and society,"Apply knowledge of chemistry to explain aspects of the natural world and how chemistry is used in society to meet needs, resolve issues, and develop new technologies."
SCI8-NAT-UND,SCI,Science,8,NAT,Nature of Science,UND,Understanding about science,Understand that scientists have an obligation to connect their new ideas to current and historical scientific knowledge and to present their findings for peer review and debate.
SCI8-NAT-INV,SCI,Science,8,NAT,Nature of Science,INV,Investigating in science,"Develop and carry out investigations that extend their science knowledge, including developing their understanding of the relationship between investigations and scientific theories and models."
SCI8-NAT-COM,SCI,Science,8,NAT,Nature of Science,COM,Communicating in science,"Use accepted science knowledge, vocabulary, symbols, and conventions when evaluating accounts of the natural world and consider the wider implications of the methods of communication and/or representation employed."
SCI8-NAT-PAR,SCI,Science,8,NAT,Nature of Science,PAR,Participating and contributing,"Use relevant information to develop a coherent understanding of socio-scientific issues that concern them, to identify possible responses at both personal and societal levels."
SCI8-LIV-LIF-1,SCI,Science,8,LIV,Living World,LIF-1,"Life processes, ecology, and evolution",Understand the relationship between organisms and their environment.
SCI8-LIV-LIF-2,SCI,Science,8,LIV,Living World,LIF-2,"Life processes, ecology, and evolution",Explore the evolutionary processes that have resulted in the diversity of life on Earth and appreciate the place and impact of humans within these processes.
SCI8-LIV-LIF-3,SCI,Science,8,LIV,Living World,LIF-3,"Life processes, ecology, and evolution","Understand how humans manipulate the transfer of genetic information from one generation to the next and make informed judgments about the social, ethical, and biological implications relating to this manipulation."
SCI8-PLA-EAR,SCI,Science,8,PLA,Planet Earth and Beyond,EAR,Earth systems and interacting systems,"Develop an in-depth understanding of the interrelationship between human activities and the geosphere, hydrosphere, atmosphere, and biosphere over time."
SCI8-PLA-AST,SCI,Science,8,PLA,Planet Earth and Beyond,AST,Astronomical systems,"Explore recent astronomical events or discoveries, showing understanding of the concepts of distance and time."
SCI8-PHY-INQ-1,SCI,Science,8,PHY,Physical World,INQ-1,Physical inquiry and physics concepts,"Investigate physical phenomena (in the areas of mechanics, electricity, electromagnetism, light and waves, and atomic and nuclear physics) and produce qualitative and quantitative explanations for a variety of complex situations."
SCI8-PHY-INQ-2,SCI,Science,8,PHY,Physical World,INQ-2,Physical inquiry and physics concepts,Analyse and evaluate data to deduce complex trends and relationships in physical phenomena.
SCI8-PHY-PHY,SCI,Science,8,PHY,Physical World,PHY,Using physics,"Use physics ideas to explain a technological, biological, or astronomical application of physics and discuss related issues."
SCI8-MAT-PRO,SCI,Science,8,MAT,Material World,PRO,Properties and changes of matter,"Investigate and measure the chemical and physical properties of a range of groups of substances, for example, acids and bases, oxidants and reductants, and selected organic and inorganic compounds."
SCI8-MAT-STR-1,SCI,Science,8,MAT,Material World,STR-1,The structure of matter,Relate properties of matter to structure and bonding.
SCI8-MAT-STR-2,SCI,Science,8,MAT,Material World,STR-2,The structure of matter,"Develop an understanding of and use the fundamental concepts of chemistry (for example, equilibrium and thermochemical principles) to interpret observations."
SCI8-MAT-CHE,SCI,Science,8,MAT,Material World,CHE,Chemistry and society,"Apply knowledge of chemistry to explain aspects of the natural world and how chemistry is used in society to meet needs, resolve issues, and develop new technologies."
ART1-UND-DAN,ART,The Arts,1,UND,Understanding the Arts in Context,DAN,Dance,Demonstrate an awareness of dance in their lives and in their communities.
ART1-UND-DRA,ART,The Arts,1,UND,Understanding the Arts in Context,DRA,Drama,Demonstrate an awareness that drama serves a variety of purposes in their lives and in their communities.
ART1-UND-MUS,ART,The Arts,1,UND,Understanding the Arts in Context,MUS,Music – Sound Arts,Explore and share ideas about music from a range of sound environments and recognise that music serves a variety of purposes and functions in their lives and in their communities.
ART1-UND-VIS,ART,The Arts,1,UND,Understanding the Arts in Context,VIS,Visual Arts,"Share ideas about how and why their own and others’ works are made and their purpose, value, and context."
ART1-PRA-DAN,ART,The Arts,1,PRA,Developing Practical Knowledge,DAN,Dance,"Explore movement with a developing awareness of the dance elements of body, space, time, energy, and relationships."
ART1-PRA-DRA,ART,The Arts,1,PRA,Developing Practical Knowledge,DRA,Drama,"Explore the elements of role, focus, action, tension, time, and space through dramatic play."
ART1-PRA-MUS,ART,The Arts,1,PRA,Developing Practical Knowledge,MUS,Music – Sound Arts,"Explore how sound is made, as they listen and respond to the elements of music: beat, rhythm, pitch, tempo, dynamics, and tone colour."
ART1-PRA-VIS,ART,The Arts,1,PRA,Developing Practical Knowledge,VIS,Visual Arts,Explore a variety of materials and tools and discover elements and selected principles.
ART1-IDE-DAN,ART,The Arts,1,IDE,Developing Ideas,DAN,Dance,Improvise and explore movement ideas in response to a variety of stimuli.
ART1-IDE-DRA,ART,The Arts,1,IDE,Developing Ideas,DRA,Drama,"Contribute and develop ideas in drama, using personal experience and imagination."
ART1-IDE-MUS-1,ART,The Arts,1,IDE,Developing Ideas,MUS-1,Music – Sound Arts,"Explore and express sounds and musical ideas, drawing on personal experience, listening, and imagination."
ART1-IDE-MUS-2,ART,The Arts,1,IDE,Developing Ideas,MUS-2,Music – Sound Arts,Explore ways to represent sound and musical ideas.
ART1-IDE-VIS,ART,The Arts,1,IDE,Developing Ideas,VIS,Visual Arts,"Investigate visual ideas in response to a variety of motivations, observation, and imagination."
ART1-COM-DAN,ART,The Arts,1,COM,Communicating and Interpreting,DAN,Dance,Share dance movement through informal presentation and share their thoughts and feelings in response to their own and others’ dances.
ART1-COM-DRA,ART,The Arts,1,COM,Communicating and Interpreting,DRA,Drama,Share drama through informal presentation and respond to ways in which drama tells stories and conveys ideas in their own and others’ work.
ART1-COM-MUS-1,ART,The Arts,1,COM,Communicating and Interpreting,MUS-1,Music – Sound Arts,Share music making with others.
ART1-COM-MUS-2,ART,The Arts,1,COM,Communicating and Interpreting,MUS-2,Music – Sound Arts,Respond to live and recorded music.
ART1-COM-VIS,ART,The Arts,1,COM,Communicating and Interpreting,VIS,Visual Arts,"Share the ideas, feelings, and stories communicated by their own and others’ objects and images."
ART2-UND-DAN,ART,The Arts,2,UND,Understanding the Arts in Context,DAN,Dance,Identify and describe dance in their lives and in their communities.
ART2-UND-DRA,ART,The Arts,2,UND,Understanding the Arts in Context,DRA,Drama,Identify and describe how drama serves a variety of purposes in their lives and their communities.
ART2-UND-MUS,ART,The Arts,2,UND,Understanding the Arts in Context,MUS,Music – Sound Arts,Explore and share ideas about music from a range of sound environments and recognise that music serves a variety of purposes and functions in their lives and in their communities.
ART2-UND-VIS,ART,The Arts,2,UND,Understanding the Arts in Context,VIS,Visual Arts,"Share ideas about how and why their own and others’ works are made and their purpose, value, and context."
ART2-PRA-DAN,ART,The Arts,2,PRA,Developing Practical Knowledge,DAN,Dance,"Explore and identify, through movement, the dance elements of body, space, time, energy, and relationships."
ART2-PRA-DRA,ART,The Arts,2,PRA,Developing Practical Knowledge,DRA,Drama,Explore and use elements of drama for different purposes.
ART2-PRA-MUS,ART,The Arts,2,PRA,Developing Practical Knowledge,MUS,Music – Sound Arts,"Explore and identify how sound is made and changed, as they listen and respond to the elements of music and structural devices."
ART2-PRA-VIS,ART,The Arts,2,PRA,Developing Practical Knowledge,VIS,Visual Arts,Explore a variety of materials and tools and discover elements and selected principles.
ART2-IDE-DAN,ART,The Arts,2,IDE,Developing Ideas,DAN,Dance,Use the elements of dance in purposeful ways to respond to a variety of stimuli.
ART2-IDE-DRA,ART,The Arts,2,IDE,Developing Ideas,DRA,Drama,"Develop and sustain ideas in drama, based on personal experience and imagination."
ART2-IDE-MUS-1,ART,The Arts,2,IDE,Developing Ideas,MUS-1,Music – Sound Arts,"Improvise, explore, and express musical ideas, drawing on personal experience, listening, and imagination."
ART2-IDE-MUS-2,ART,The Arts,2,IDE,Developing Ideas,MUS-2,Music – Sound Arts,Explore ways to represent sound and musical ideas.
ART2-IDE-VIS,ART,The Arts,2,IDE,Developing Ideas,VIS,Visual Arts,"Investigate and develop visual ideas in response to a variety of motivations, observation, and imagination."
ART2-COM-DAN,ART,The Arts,2,COM,Communicating and Interpreting,DAN,Dance,Share dance movement through informal presentation and identify the use of the elements of dance.
ART2-COM-DRA,ART,The Arts,2,COM,Communicating and Interpreting,DRA,Drama,Share drama through informal presentation and respond to elements of drama in their own and others’ work.
ART2-COM-MUS-1,ART,The Arts,2,COM,Communicating and Interpreting,MUS-1,Music – Sound Arts,"Share music making with others, using basic performance skills and techniques."
ART2-COM-MUS-2,ART,The Arts,2,COM,Communicating and Interpreting,MUS-2,Music – Sound Arts,Respond to live and recorded music.
ART2-COM-VIS,ART,The Arts,2,COM,Communicating and Interpreting,VIS,Visual Arts,"Share the ideas, feelings, and stories communicated by their own and others’ objects and images."
ART3-UND-DAN,ART,The Arts,3,UND,Understanding the Arts in Context,DAN,Dance,Explore and describe dances from a variety of cultures.
ART3-UND-DRA,ART,The Arts,3,UND,Understanding the Arts in Context,DRA,Drama,Investigate the functions and purposes of drama in cultural and historical contexts.
ART3-UND-MUS-1,ART,The Arts,3,UND,Understanding the Arts in Context,MUS-1,Music – Sound Arts,"Identify and describe the characteristics of music associated with a range of sound environments, in relation to historical, social, and cultural contexts."
ART3-UND-MUS-2,ART,The Arts,3,UND,Understanding the Arts in Context,MUS-2,Music – Sound Arts,Explore ideas about how music serves a variety of purposes and functions in their lives and in their communities.
ART3-UND-VIS,ART,The Arts,3,UND,Understanding the Arts in Context,VIS,Visual Arts,"Investigate the purpose of objects and images from past and present cultures and identify the contexts in which they were or are made, viewed, and valued."
ART3-PRA-DAN,ART,The Arts,3,PRA,Developing Practical Knowledge,DAN,Dance,Use the dance elements to develop and share their personal movement vocabulary.
ART3-PRA-DRA,ART,The Arts,3,PRA,Developing Practical Knowledge,DRA,Drama,Use techniques and relevant technologies to explore drama elements and conventions.
ART3-PRA-MUS,ART,The Arts,3,PRA,Developing Practical Knowledge,MUS,Music – Sound Arts,"Explore and identify how sound is made and changed, as they listen and respond to music and apply knowledge of the elements of music, structural devices, and technologies."
ART3-PRA-VIS,ART,The Arts,3,PRA,Developing Practical Knowledge,VIS,Visual Arts,"Explore some art-making conventions, applying knowledge of elements and selected principles through the use of materials and processes."
ART3-IDE-DAN,ART,The Arts,3,IDE,Developing Ideas,DAN,Dance,Select and combine dance elements in response to a variety of stimuli.
ART3-IDE-DRA,ART,The Arts,3,IDE,Developing Ideas,DRA,Drama,Initiate and develop ideas with others to create drama.
ART3-IDE-MUS-1,ART,The Arts,3,IDE,Developing Ideas,MUS-1,Music – Sound Arts,"Express and shape musical ideas, using musical elements, instruments, and technologies in response to sources of motivation."
ART3-IDE-MUS-2,ART,The Arts,3,IDE,Developing Ideas,MUS-2,Music – Sound Arts,Represent sound and musical ideas in a variety of ways.
ART3-IDE-VIS,ART,The Arts,3,IDE,Developing Ideas,VIS,Visual Arts,"Develop and revisit visual ideas, in response to a variety of motivations, observation, and imagination, supported by the study of artists’ works."
ART3-COM-DAN-1,ART,The Arts,3,COM,Communicating and Interpreting,DAN-1,Dance,Prepare and share dance movement individually and in pairs or groups.
ART3-COM-DAN-2,ART,The Arts,3,COM,Communicating and Interpreting,DAN-2,Dance,Use the elements of dance to describe dance movements and respond to dances from a variety of cultures.
ART3-COM-DRA,ART,The Arts,3,COM,Communicating and Interpreting,DRA,Drama,"Present and respond to drama, identifying ways in which elements, techniques, conventions, and technologies combine to create meaning in their own and others’ work."
ART3-COM-MUS-1,ART,The Arts,3,COM,Communicating and Interpreting,MUS-1,Music – Sound Arts,"Prepare and present brief performance of music, using performance skills and techniques."
ART3-COM-MUS-2,ART,The Arts,3,COM,Communicating and Interpreting,MUS-2,Music – Sound Arts,Respond to and reflect on live and recorded music.
ART3-COM-VIS,ART,The Arts,3,COM,Communicating and Interpreting,VIS,Visual Arts,Describe the ideas their own and others’ objects and images communicate.
ART4-UND-DAN,ART,The Arts,4,UND,Understanding the Arts in Context,DAN,Dance,Explore and describe how dance is used for different purposes in a variety of cultures and contexts.
ART4-UND-DRA,ART,The Arts,4,UND,Understanding the Arts in Context,DRA,Drama,"Investigate the functions, purposes, and technologies of drama in cultural and historical contexts."
ART4-UND-MUS-1,ART,The Arts,4,UND,Understanding the Arts in Context,MUS-1,Music – Sound Arts,"Identify and describe the characteristics of music associated with a range of sound environments, in relation to historical, social, and cultural contexts."
ART4-UND-MUS-2,ART,The Arts,4,UND,Understanding the Arts in Context,MUS-2,Music – Sound Arts,Explore ideas about how music serves a variety of purposes and functions in their lives and in their communities.
ART4-UND-VIS,ART,The Arts,4,UND,Understanding the Arts in Context,VIS,Visual Arts,"Investigate the purpose of objects and images from past and present cultures and identify the contexts in which they were or are made, viewed, and valued."
ART4-PRA-DAN,ART,The Arts,4,PRA,Developing Practical Knowledge,DAN,Dance,Apply the dance elements to extend personal movement skills and vocabularies and to explore the vocabularies of others.
ART4-PRA-DRA-1,ART,The Arts,4,PRA,Developing Practical Knowledge,DRA-1,Drama,Select and use techniques and relevant technologies to develop drama practice.
ART4-PRA-DRA-2,ART,The Arts,4,PRA,Developing Practical Knowledge,DRA-2,Drama,Use conventions to structure drama.
ART4-PRA-MUS,ART,The Arts,4,PRA,Developing Practical Knowledge,MUS,Music – Sound Arts,"Apply knowledge of the elements of music, structural devices, and technologies through integrating aural, practical, and theoretical skills."
ART4-PRA-VIS,ART,The Arts,4,PRA,Developing Practical Knowledge,VIS,Visual Arts,Explore and use art-making conventions applying knowledge of elements and selected principles through the use of materials and processes.
ART4-IDE-DAN,ART,The Arts,4,IDE,Developing Ideas,DAN,Dance,"Combine and contrast the dance elements to express images, ideas, and feelings in dance, using a variety of choreographic processes."
ART4-IDE-DRA,ART,The Arts,4,IDE,Developing Ideas,DRA,Drama,Initiate and refine ideas with others to plan and develop drama.
ART4-IDE-MUS-1,ART,The Arts,4,IDE,Developing Ideas,MUS-1,Music – Sound Arts,"Express, develop, and refine musical ideas, using the elements of music, instruments, and technologies in response to sources of motivation."
ART4-IDE-MUS-2,ART,The Arts,4,IDE,Developing Ideas,MUS-2,Music – Sound Arts,Represent sound and musical ideas in a variety of ways.
ART4-IDE-VIS,ART,The Arts,4,IDE,Developing Ideas,VIS,Visual Arts,"Develop and revisit visual ideas, in response to a variety of motivations, observation, and imagination, supported by the study of artists’ works."
ART4-COM-DAN-1,ART,The Arts,4,COM,Communicating and Interpreting,DAN-1,Dance,"Prepare and present dance, with an awareness of the performance context."
ART4-COM-DAN-2,ART,The Arts,4,COM,Communicating and Interpreting,DAN-2,Dance,Describe and record how the purpose of selected dances is expressed through the movement.
ART4-COM-DRA,ART,The Arts,4,COM,Communicating and Interpreting,DRA,Drama,"Present and respond to drama, identifying ways in which elements, techniques, conventions, and technologies create meaning in their own and others’ work."
ART4-COM-MUS-1,ART,The Arts,4,COM,Communicating and Interpreting,MUS-1,Music – Sound Arts,"Prepare, rehearse, and present performance of music, using performance skills and techniques."
ART4-COM-MUS-2,ART,The Arts,4,COM,Communicating and Interpreting,MUS-2,Music – Sound Arts,"Reflect on the expressive qualities of their own and others’ music, both live and recorded."
ART4-COM-VIS,ART,The Arts,4,COM,Communicating and Interpreting,VIS,Visual Arts,Explore and describe ways in which meanings can be communicated and interpreted in their own and others’ work.
ART5-UND-DAN,ART,The Arts,5,UND,Understanding the Arts in Context,DAN,Dance,Compare and contrast dances from a variety of past and present cultures and contexts.
ART5-UND-DRA,ART,The Arts,5,UND,Understanding the Arts in Context,DRA,Drama,"Investigate the characteristics, purposes, and function of drama in a range of contexts."
ART5-UND-MUS-1,ART,The Arts,5,UND,Understanding the Arts in Context,MUS-1,Music – Sound Arts,"Compare and contrast the characteristics of music associated with a range of sound environments, in relation to historical, social, and cultural contexts."
ART5-UND-MUS-2,ART,The Arts,5,UND,Understanding the Arts in Context,MUS-2,Music – Sound Arts,Investigate how music serves a variety of purposes and functions in their own lives and in their communities.
ART5-UND-VIS,ART,The Arts,5,UND,Understanding the Arts in Context,VIS,Visual Arts,Investigate and consider the relationship between the production of art works and their contexts and influences.
ART5-PRA-DAN,ART,The Arts,5,PRA,Developing Practical Knowledge,DAN,Dance,"Develop a variety of skills, dance techniques, vocabularies, and movement practices."
ART5-PRA-DRA,ART,The Arts,5,PRA,Developing Practical Knowledge,DRA,Drama,"Select and use techniques, conventions, and relevant technologies for specific drama purposes."
ART5-PRA-MUS,ART,The Arts,5,PRA,Developing Practical Knowledge,MUS,Music – Sound Arts,"Apply knowledge of the elements of music, structural devices, stylistic conventions, and technologies through integrating aural, practical, and theoretical skills."
ART5-PRA-VIS,ART,The Arts,5,PRA,Developing Practical Knowledge,VIS,Visual Arts,"Apply knowledge of selected conventions from established practice, using appropriate processes and procedures."
ART5-IDE-DAN,ART,The Arts,5,IDE,Developing Ideas,DAN,Dance,Manipulate the elements and explore the use of choreographic devices and structures to organise dance movement.
ART5-IDE-DRA,ART,The Arts,5,IDE,Developing Ideas,DRA,Drama,Select and refine ideas to develop drama for specific purposes.
ART5-IDE-MUS-1,ART,The Arts,5,IDE,Developing Ideas,MUS-1,Music – Sound Arts,"Use musical elements, instruments, technologies, and conventions to express, develop, and refine structured compositions and improvisations."
ART5-IDE-MUS-2,ART,The Arts,5,IDE,Developing Ideas,MUS-2,Music – Sound Arts,"Represent compositions and improvisation frameworks, using appropriate conventions."
ART5-IDE-VIS,ART,The Arts,5,IDE,Developing Ideas,VIS,Visual Arts,"Generate, develop, and refine ideas in response to a variety of motivations, including the study of established practice."
ART5-COM-DAN-1,ART,The Arts,5,COM,Communicating and Interpreting,DAN-1,Dance,"Prepare, rehearse, and perform dance with an awareness of production technologies."
ART5-COM-DAN-2,ART,The Arts,5,COM,Communicating and Interpreting,DAN-2,Dance,"Reflect on and describe how choreography communicates ideas, feelings, moods, and experiences."
ART5-COM-DRA,ART,The Arts,5,COM,Communicating and Interpreting,DRA,Drama,"Present and respond to drama and describe how drama combines elements, techniques, conventions, and technologies to create structure and meaning in their own and others’ work."
ART5-COM-MUS-1,ART,The Arts,5,COM,Communicating and Interpreting,MUS-1,Music – Sound Arts,"Prepare, rehearse, and present performances of music, using a range of performance skills and techniques."
ART5-COM-MUS-2,ART,The Arts,5,COM,Communicating and Interpreting,MUS-2,Music – Sound Arts,"Reflect on the expressive qualities of their own and others’ music, both live and recorded."
ART5-COM-VIS,ART,The Arts,5,COM,Communicating and Interpreting,VIS,Visual Arts,Compare and contrast the ways in which ideas and art-making processes are used to communicate meaning in selected objects and images.
ART6-UND-DAN,ART,The Arts,6,UND,Understanding the Arts in Context,DAN,Dance,"Explore, investigate, and describe the features and backgrounds of a variety of dance genres and styles."
ART6-UND-DRA,ART,The Arts,6,UND,Understanding the Arts in Context,DRA,Drama,"Investigate the forms and purposes of drama in different historical or contemporary contexts, including New Zealand drama."
ART6-UND-MUS-1,ART,The Arts,6,UND,Understanding the Arts in Context,MUS-1,Music – Sound Arts,"Analyse music from a range of sound environments, styles, and genres, in relation to historical, social, and cultural contexts."
ART6-UND-MUS-2,ART,The Arts,6,UND,Understanding the Arts in Context,MUS-2,Music – Sound Arts,Consider and reflect on the influence of music in their own music making and in their lives.
ART6-UND-VIS-1,ART,The Arts,6,UND,Understanding the Arts in Context,VIS-1,Visual Arts,"Investigate and analyse the relationship between the production of art works and the contexts in which they were made, viewed, and valued."
ART6-UND-VIS-2,ART,The Arts,6,UND,Understanding the Arts in Context,VIS-2,Visual Arts,Consider and reflect on the contexts underlying their own and others’ work.
ART6-PRA-DAN,ART,The Arts,6,PRA,Developing Practical Knowledge,DAN,Dance,Develop and demonstrate skills in selected dance genres and styles and explore the use of a variety of technologies.
ART6-PRA-DRA,ART,The Arts,6,PRA,Developing Practical Knowledge,DRA,Drama,"Select and use techniques, conventions, and technologies in a range of dramatic forms."
ART6-PRA-MUS,ART,The Arts,6,PRA,Developing Practical Knowledge,MUS,Music – Sound Arts,"Apply knowledge of expressive features, stylistic conventions, and technologies through an integration of aural perception and practical and theoretical skills and describe how they are used in a range of music."
ART6-PRA-VIS,ART,The Arts,6,PRA,Developing Practical Knowledge,VIS,Visual Arts,"Apply knowledge of a range of conventions from established practice, using appropriate processes and procedures."
ART6-IDE-DAN,ART,The Arts,6,IDE,Developing Ideas,DAN,Dance,"Select and use choreographic devices, structures, processes, and technologies to develop and give form to dance ideas."
ART6-IDE-DRA,ART,The Arts,6,IDE,Developing Ideas,DRA,Drama,"Research, evaluate, and refine ideas in a range of dramatic forms to develop drama."
ART6-IDE-MUS-1,ART,The Arts,6,IDE,Developing Ideas,MUS-1,Music – Sound Arts,"Create, structure, refine, and represent compositions using the elements of music, instruments, technologies, and conventions to express imaginative thinking and personal understandings."
ART6-IDE-MUS-2,ART,The Arts,6,IDE,Developing Ideas,MUS-2,Music – Sound Arts,Reflect on composition processes and presentation conventions.
ART6-IDE-VIS-1,ART,The Arts,6,IDE,Developing Ideas,VIS-1,Visual Arts,"Generate, develop, and clarify ideas, showing some understanding of established practice."
ART6-IDE-VIS-2,ART,The Arts,6,IDE,Developing Ideas,VIS-2,Visual Arts,"Sequence and link ideas systematically as they solve problems in a body of work, using observation and invention with an appropriate selection of materials."
ART6-COM-DAN-1,ART,The Arts,6,COM,Communicating and Interpreting,DAN-1,Dance,"Prepare, rehearse, and perform a range of dances and demonstrate an understanding of the performance requirements of the genres and contexts."
ART6-COM-DAN-2,ART,The Arts,6,COM,Communicating and Interpreting,DAN-2,Dance,"Describe, explain, and respond to the ways that dance uses elements, devices, structures, performance skills, and production technologies to communicate images, themes, feelings, and moods."
ART6-COM-DRA,ART,The Arts,6,COM,Communicating and Interpreting,DRA,Drama,"Perform and respond to drama and make critical judgments about how elements, techniques, conventions, and technologies are used to create form and meaning in their own and others’ work."
ART6-COM-MUS-1,ART,The Arts,6,COM,Communicating and Interpreting,MUS-1,Music – Sound Arts,"Prepare, rehearse, interpret, and present performances of music individually and collaboratively, using a range of performance skills and techniques."
ART6-COM-MUS-2,ART,The Arts,6,COM,Communicating and Interpreting,MUS-2,Music – Sound Arts,"Reflect on the expressive qualities of music and evaluate their own and others’ music, both live and recorded."
ART6-COM-VIS-1,ART,The Arts,6,COM,Communicating and Interpreting,VIS-1,Visual Arts,Identify and analyse processes and procedures from established practice that influence ways of communicating meaning.
ART6-COM-VIS-2,ART,The Arts,6,COM,Communicating and Interpreting,VIS-2,Visual Arts,"Investigate, analyse, and evaluate ideas and interpret artists’ intentions in art works."
ART7-UND-DAN,ART,The Arts,7,UND,Understanding the Arts in Context,DAN,Dance,"Investigate and evaluate the effects of individual, social, cultural, and technological influences on the development of a variety of dance genres and styles."
ART7-UND-DRA-1,ART,The Arts,7,UND,Understanding the Arts in Context,DRA-1,Drama,"Research the purposes of production, performance, and technologies of drama in a range of contexts, including New Zealand drama."
